card_id;disposition_id;type;issued_date
1005;9285;classic;07-11-1993
104;588;classic;19-01-1994
747;4915;classic;05-02-1994
70;439;classic;08-02-1994
577;3687;classic;15-02-1994
377;2429;classic;03-03-1994
721;4680;junior;05-04-1994
437;2762;classic;01-06-1994
188;1146;classic;19-06-1994
13;87;classic;29-06-1994
732;4763;classic;21-07-1994
181;1066;classic;19-08-1994
384;2475;junior;15-09-1994
309;1946;classic;19-09-1994
478;3084;classic;09-10-1994
563;3589;classic;21-10-1994
369;2363;classic;08-11-1994
376;2428;classic;10-11-1994
483;3115;classic;24-11-1994
174;1039;junior;04-12-1994
658;4251;classic;25-12-1994
763;5138;junior;30-12-1994
778;5275;classic;02-01-1995
1039;9837;classic;07-01-1995
477;3082;junior;16-01-1995
168;1018;classic;24-01-1995
314;1999;junior;27-01-1995
468;3023;classic;30-01-1995
208;1246;gold;08-02-1995
766;5200;classic;11-02-1995
464;2984;classic;21-02-1995
497;3184;classic;03-03-1995
166;999;classic;05-03-1995
15;114;classic;05-03-1995
503;3225;classic;08-03-1995
1038;9787;junior;30-03-1995
737;4791;classic;13-04-1995
418;2623;classic;14-04-1995
759;5117;junior;18-04-1995
223;1353;classic;18-04-1995
5;51;junior;24-04-1995
159;946;classic;01-05-1995
1223;13231;junior;02-05-1995
662;4293;classic;09-05-1995
779;5323;junior;21-05-1995
1040;9890;junior;28-05-1995
545;3458;classic;30-05-1995
467;3019;classic;05-06-1995
1247;13660;classic;13-06-1995
652;4211;classic;16-06-1995
559;3573;classic;17-06-1995
719;4663;classic;24-06-1995
397;2513;classic;24-06-1995
107;593;classic;27-06-1995
661;4270;classic;03-07-1995
484;3116;classic;04-07-1995
501;3197;classic;09-07-1995
422;2650;junior;11-07-1995
705;4555;classic;12-07-1995
410;2569;classic;20-07-1995
136;778;classic;28-07-1995
592;3782;junior;07-08-1995
262;1647;junior;24-08-1995
18;128;classic;25-08-1995
3;41;gold;03-09-1995
98;537;classic;06-09-1995
167;1011;classic;15-09-1995
97;531;junior;19-09-1995
699;4532;classic;26-09-1995
342;2157;classic;27-09-1995
713;4627;classic;30-09-1995
118;652;classic;22-10-1995
783;5433;junior;24-10-1995
1103;11189;classic;04-11-1995
504;3230;junior;06-11-1995
261;1629;gold;09-11-1995
296;1876;gold;13-11-1995
113;629;junior;16-11-1995
92;508;classic;20-11-1995
1225;13268;classic;22-11-1995
393;2498;junior;03-12-1995
695;4507;classic;15-12-1995
666;4328;junior;25-12-1995
462;2978;classic;30-12-1995
85;489;classic;31-12-1995
337;2141;classic;01-01-1996
771;5233;classic;08-01-1996
379;2431;classic;12-01-1996
106;592;classic;14-01-1996
606;3883;classic;22-01-1996
427;2688;gold;25-01-1996
202;1228;classic;04-02-1996
814;5911;classic;15-02-1996
1064;10328;classic;17-02-1996
14;112;classic;17-02-1996
423;2657;classic;19-02-1996
989;9119;classic;21-02-1996
364;2329;classic;29-02-1996
267;1691;junior;09-03-1996
621;3970;junior;19-03-1996
1139;11836;junior;26-03-1996
725;4715;junior;30-03-1996
150;859;classic;30-03-1996
302;1900;classic;31-03-1996
372;2395;classic;31-03-1996
499;3187;classic;03-04-1996
229;1384;classic;05-04-1996
289;1831;junior;08-04-1996
1100;11101;junior;10-04-1996
37;238;classic;20-04-1996
286;1812;gold;21-04-1996
157;907;classic;24-04-1996
216;1310;junior;24-04-1996
977;8968;classic;08-05-1996
183;1080;classic;08-05-1996
945;8342;junior;09-05-1996
44;268;junior;17-05-1996
600;3829;classic;20-05-1996
127;714;classic;23-05-1996
764;5159;classic;29-05-1996
204;1239;junior;30-05-1996
1134;11742;classic;31-05-1996
312;1971;classic;08-06-1996
313;1980;classic;17-06-1996
641;4116;classic;18-06-1996
731;4751;classic;23-06-1996
84;487;classic;26-06-1996
265;1680;classic;28-06-1996
1176;12502;gold;03-07-1996
1233;13382;classic;06-07-1996
407;2555;classic;11-07-1996
320;2045;classic;11-07-1996
1187;12635;gold;17-07-1996
121;666;junior;22-07-1996
1055;10171;classic;24-07-1996
303;1912;classic;01-08-1996
651;4201;junior;02-08-1996
736;4789;classic;03-08-1996
24;153;junior;05-08-1996
587;3763;junior;05-08-1996
119;655;classic;08-08-1996
670;4343;classic;08-08-1996
227;1380;classic;10-08-1996
1164;12269;classic;12-08-1996
1043;9974;junior;14-08-1996
278;1779;classic;15-08-1996
103;584;junior;17-08-1996
673;4353;junior;31-08-1996
38;242;classic;31-08-1996
470;3036;classic;02-09-1996
890;7422;classic;08-09-1996
514;3267;classic;10-09-1996
741;4832;classic;11-09-1996
882;7195;classic;11-09-1996
12;83;junior;11-09-1996
152;876;classic;16-09-1996
163;984;classic;18-09-1996
708;4568;junior;24-09-1996
1087;10887;classic;06-10-1996
854;6753;classic;07-10-1996
601;3830;classic;08-10-1996
99;548;gold;09-10-1996
547;3477;classic;11-10-1996
40;255;classic;13-10-1996
220;1333;classic;13-10-1996
390;2490;classic;14-10-1996
776;5263;classic;19-10-1996
197;1202;junior;21-10-1996
516;3279;classic;25-10-1996
381;2440;classic;27-10-1996
1010;9413;classic;27-10-1996
813;5873;junior;28-10-1996
272;1754;junior;28-10-1996
772;5243;classic;30-10-1996
528;3356;classic;31-10-1996
