loan_id;account_id;date_loan;amount_of_loan;duration_of_loan_in_month;payments_per_month;status
5314;1787;05/07/1993;96396;12;8033.0;B
5316;1801;11/07/1993;165960;36;4610.0;A
6863;9188;28/07/1993;127080;60;2118.0;A
5325;1843;03/08/1993;105804;36;2939.0;A
7240;11013;06/09/1993;274740;60;4579.0;A
6687;8261;13/09/1993;87840;24;3660.0;A
7284;11265;15/09/1993;52788;12;4399.0;A
6111;5428;24/09/1993;174744;24;7281.0;B
7235;10973;13/10/1993;154416;48;3217.0;A
5997;4894;04/11/1993;117024;24;4876.0;A
7121;10364;10/11/1993;21924;36;609.0;A
6077;5270;22/11/1993;79608;24;3317.0;A
6228;6034;01/12/1993;464520;60;7742.0;B
6356;6701;08/12/1993;95400;36;2650.0;A
5523;2705;08/12/1993;93888;36;2608.0;A
6456;7123;09/12/1993;47016;12;3918.0;A
7104;10320;13/12/1993;259740;60;4329.0;A
6820;9034;16/12/1993;38148;12;3179.0;A
6876;9236;21/12/1993;86616;12;7218.0;A
7097;10266;23/12/1993;75624;24;3151.0;B
4959;2;05/01/1994;80952;24;3373.0;A
6499;7401;05/01/1994;80952;24;3373.0;A
5479;2486;10/01/1994;24516;12;2043.0;A
5170;1071;20/01/1994;253200;60;4220.0;C
6721;8475;21/01/1994;21072;24;878.0;A
7259;11111;31/01/1994;108144;36;3004.0;A
5285;1603;06/02/1994;78936;12;6578.0;A
5189;1166;07/02/1994;149040;48;3105.0;A
6650;8073;17/02/1994;49320;12;4110.0;B
7226;10940;23/02/1994;197748;36;5493.0;A
6087;5313;27/02/1994;300660;60;5011.0;C
7262;11135;01/03/1994;182628;36;5073.0;A
5519;2694;08/03/1994;91632;12;7636.0;A
6577;7753;11/03/1994;51696;24;2154.0;A
6509;7445;15/03/1994;55368;24;2307.0;A
6520;7485;16/03/1994;91200;24;3800.0;A
6699;8330;30/03/1994;7656;24;319.0;A
6336;6555;31/03/1994;212400;36;5900.0;A
7055;10079;06/04/1994;167100;60;2785.0;C
6103;5385;07/04/1994;149340;60;2489.0;C
6202;5891;18/04/1994;65184;12;5432.0;A
7066;10131;02/05/1994;215388;36;5983.0;B
6696;8321;09/05/1994;89040;60;1484.0;C
6072;5256;10/05/1994;193968;36;5388.0;A
5130;813;11/05/1994;24312;12;2026.0;A
5568;2933;17/05/1994;272520;60;4542.0;C
6678;8173;20/05/1994;80340;12;6695.0;A
6998;9833;21/05/1994;97632;12;8136.0;A
6580;7769;22/05/1994;196080;48;4085.0;A
6316;6473;26/05/1994;76908;12;6409.0;B
6512;7454;26/05/1994;63312;48;1319.0;A
6407;6930;26/05/1994;25944;24;1081.0;A
5002;173;31/05/1994;104808;12;8734.0;A
6647;8051;01/06/1994;208320;48;4340.0;A
7137;10439;03/06/1994;151560;24;6315.0;A
6903;9337;04/06/1994;52128;24;2172.0;A
5918;4576;04/06/1994;300204;36;8339.0;A
6642;8027;05/06/1994;77640;12;6470.0;A
6210;5927;06/06/1994;87216;48;1817.0;B
6279;6273;07/06/1994;87360;24;3640.0;A
7249;11065;12/06/1994;69360;48;1445.0;A
6736;8558;14/06/1994;288360;60;4806.0;C
6112;5442;17/06/1994;174744;24;7281.0;B
5319;1811;23/06/1994;239460;60;3991.0;C
6596;7844;25/06/1994;91584;24;3816.0;A
5837;4260;29/06/1994;244560;60;4076.0;C
5657;3354;05/07/1994;4980;12;415.0;A
5533;2762;05/07/1994;111384;24;4641.0;A
6232;6051;08/07/1994;276660;36;7685.0;B
6888;9265;11/07/1994;39576;12;3298.0;A
6066;5228;11/07/1994;173808;24;7242.0;A
5549;2824;16/07/1994;50460;60;841.0;C
5060;426;19/07/1994;252060;60;4201.0;D
6004;4937;23/07/1994;143904;24;5996.0;A
5126;790;24/07/1994;208128;48;4336.0;B
7220;10911;28/07/1994;131292;36;3647.0;A
6668;8129;30/07/1994;74736;36;2076.0;A
5395;2176;30/07/1994;299088;36;8308.0;B
6836;9093;03/08/1994;189300;60;3155.0;C
6064;5215;04/08/1994;14628;12;1219.0;A
6919;9403;05/08/1994;120888;36;3358.0;A
6841;9104;07/08/1994;172080;48;3585.0;A
6038;5120;10/08/1994;323472;48;6739.0;A
6729;8519;11/08/1994;74688;12;6224.0;A
7198;10788;23/08/1994;45768;12;3814.0;A
6686;8260;25/08/1994;224604;36;6239.0;A
5836;4259;27/08/1994;79632;24;3318.0;A
7061;10105;27/08/1994;121896;24;5079.0;A
5595;3050;02/09/1994;82896;12;6908.0;A
5723;3674;10/09/1994;23628;12;1969.0;A
6120;5481;11/09/1994;209184;48;4358.0;A
6895;9307;19/09/1994;41904;12;3492.0;A
5882;4427;26/09/1994;87816;12;7318.0;A
5754;3834;28/09/1994;23052;12;1921.0;A
6594;7824;28/09/1994;189696;24;7904.0;B
6738;8566;29/09/1994;230220;36;6395.0;B
6624;7965;30/09/1994;71460;12;5955.0;A
6216;5952;30/09/1994;141240;24;5885.0;A
6229;6040;02/10/1994;11736;24;489.0;A
5887;4448;03/10/1994;192744;36;5354.0;A
6808;8982;12/10/1994;227880;36;6330.0;A
6297;6363;25/10/1994;17508;12;1459.0;A
5161;1012;28/10/1994;98184;24;4091.0;A
5390;2167;30/10/1994;170256;24;7094.0;A
6150;5622;02/11/1994;83016;12;6918.0;A
6223;5991;03/11/1994;61056;48;1272.0;A
5032;290;03/11/1994;123696;48;2577.0;A
6253;6148;04/11/1994;59760;24;2490.0;A
6460;7133;06/11/1994;48672;36;1352.0;A
6645;8041;06/11/1994;140400;36;3900.0;A
5176;1106;12/11/1994;192552;24;8023.0;B
5269;1527;19/11/1994;164052;36;4557.0;B
5351;1978;04/12/1994;205200;36;5700.0;A
5861;4337;08/12/1994;51408;24;2142.0;A
